name,lat,long,region,address 1,address 2,address 3,county
The Central Bar,54.807976,-6.519782,northireland,40 MAIN STREET,CASTLEISLAND,,CO. KERRY
The Central Bar,54.807976,-6.519782,northireland,BRIDGE STREET,NEWCASTLEWEST,,CO. LIMERICK
The Central Bar,54.807976,-6.519782,northireland,10 CLANBRASSIL STREET,DUNDALK,,CO. LOUTH
The Central Bar,54.807976,-6.519782,northireland,MARKET SQUARE,ROSCOMMON,,CO. ROSCOMMON
The Coach Inn,54.383627,-5.544673,northireland,21 DUBLIN ROAD AND ALTERED PREMISES,ATTACHED AND ADJOINING,BRAY,CO. WICKLOW
The Corner Bar,54.533138,-7.658734,northireland,KILDYSART,,,CO. CLARE
The Corner Bar,54.533138,-7.658734,northireland,37 BRIDGE STREET,SKIBBEREEN,,CO. CORK
The Corner Bar,54.533138,-7.658734,northireland,MAIN STREET,FALCARRAGH,,CO. DONEGAL
The Corner Bar,54.533138,-7.658734,northireland,MAIN STREET/QUAY STREET,MOVILLE,LIFFORD,CO. DONEGAL
The Corner Bar,54.668965,-6.546994,northireland,KILDYSART,,,CO. CLARE
The Corner Bar,54.668965,-6.546994,northireland,37 BRIDGE STREET,SKIBBEREEN,,CO. CORK
The Corner Bar,54.668965,-6.546994,northireland,MAIN STREET,FALCARRAGH,,CO. DONEGAL
The Corner Bar,54.668965,-6.546994,northireland,MAIN STREET/QUAY STREET,MOVILLE,LIFFORD,CO. DONEGAL
The Cosy Bar,54.417237,-7.816122,northireland,MARKET SQUARE,MOUNTRATH,,CO. LAOIS
The Cosy Bar,54.417237,-7.816122,northireland,MAIN STREET,CASTLEREA,,CO. ROSCOMMON
The Cosy Corner,54.868346,-6.27404,northireland,MAIN STREET,MOHILL,,CO. LEITRIM
The Diamond Bar,54.9593811,-6.484948158,northireland,GLENAROGUE EAST,BEAL NA BLATH,CROOKSTOWN,CO. CORK
The Diamond Bar,54.9593811,-6.484948158,northireland,MAIN STREET,PETTIGO,,CO. DONEGAL
The Diamond Bar,54.9593811,-6.484948158,northireland,RAPHOE,,,CO. DONEGAL
The Diamond Bar,54.9593811,-6.484948158,northireland,TULLAGHAN,,,CO. LEITRIM
The Diamond Bar,55.07065964,-6.516940117,northireland,GLENAROGUE EAST,BEAL NA BLATH,CROOKSTOWN,CO. CORK
The Diamond Bar,55.07065964,-6.516940117,northireland,MAIN STREET,PETTIGO,,CO. DONEGAL
The Diamond Bar,55.07065964,-6.516940117,northireland,RAPHOE,,,CO. DONEGAL
The Diamond Bar,55.07065964,-6.516940117,northireland,TULLAGHAN,,,CO. LEITRIM
The Diamond Bar,54.851422,-6.365727,northireland,GLENAROGUE EAST,BEAL NA BLATH,CROOKSTOWN,CO. CORK
The Diamond Bar,54.851422,-6.365727,northireland,MAIN STREET,PETTIGO,,CO. DONEGAL
The Diamond Bar,54.851422,-6.365727,northireland,RAPHOE,,,CO. DONEGAL
The Diamond Bar,54.851422,-6.365727,northireland,TULLAGHAN,,,CO. LEITRIM
The Diamond Bar,54.768381,-7.248742,northireland,GLENAROGUE EAST,BEAL NA BLATH,CROOKSTOWN,CO. CORK
The Diamond Bar,54.768381,-7.248742,northireland,MAIN STREET,PETTIGO,,CO. DONEGAL
The Diamond Bar,54.768381,-7.248742,northireland,RAPHOE,,,CO. DONEGAL
The Diamond Bar,54.768381,-7.248742,northireland,TULLAGHAN,,,CO. LEITRIM
The Forge,54.709692,-7.594386,northireland,CONVENT HILL,KILLALOE,,CO. CLARE
The Forge,54.709692,-7.594386,northireland,MULLANS,DONEGAL,,CO. DONEGAL
The Forge,54.709692,-7.594386,northireland,CARRIGLASS,LONGFORD,,CO. LONGFORD
The Forge,54.0620963,-6.4372551,northireland,CONVENT HILL,KILLALOE,,CO. CLARE
The Forge,54.0620963,-6.4372551,northireland,MULLANS,DONEGAL,,CO. DONEGAL
The Forge,54.0620963,-6.4372551,northireland,CARRIGLASS,LONGFORD,,CO. LONGFORD
The Forge Bar,55.129605,-6.669198,northireland,CAUSEWAY,,,CO. KERRY
The Glen Bar,55.08723831,-6.291234016,northireland,DIAMOND,"CARNDONAGH, LIFFORD",,CO. DONEGAL
The Glen Bar,55.08723831,-6.291234016,northireland,GRAIGUENAKILL,GLENMORE,,CO. KILKENNY
The Glen Bar,54.99363327,-7.308734894,northireland,DIAMOND,"CARNDONAGH, LIFFORD",,CO. DONEGAL
The Glen Bar,54.99363327,-7.308734894,northireland,GRAIGUENAKILL,GLENMORE,,CO. KILKENNY
The Grange Bar,54.75272,-6.001432,northireland,GRANGE,DOUGLAS,CORK,CO. CORK
The Hideout,54.590025,-5.927841,northireland,MAIN STREET,KILCULLEN,,CO. KILDARE
The Hideout,54.590025,-5.927841,northireland,SOLOHEAD,,,CO. TIPPERARY
The Hideout,54.590025,-5.927841,northireland,THE HIDEOUT,1-2 CAMPBELLS ROW,NORTH CIRCULAR ROAD,DUBLIN CITY
The Market Bar,54.297439,-6.521743,northireland,MAIN STREET,MANORHAMILTON,,CO. LEITRIM
The Market Bar,54.297439,-6.521743,northireland,24 HIGH STREET,LIMERICK,,CO. LIMERICK
The Market Bar,54.297439,-6.521743,northireland,BALLYMAHON STREET,LONGFORD,,CO. LONGFORD
The Market Bar,54.297439,-6.521743,northireland,99 CLANBRASSIL STREET,DUNDALK,,CO. LOUTH
The Market Bar,54.297439,-6.521743,northireland,14A FADE STREET,& THE REAR OF 25 ST GEORGE'S STREET,THE REAR OF 29 MARKET ARCADE EXTENSION,DUBLIN CITY
The Market Bar,55.129605,-6.669198,northireland,MAIN STREET,MANORHAMILTON,,CO. LEITRIM
The Market Bar,55.129605,-6.669198,northireland,24 HIGH STREET,LIMERICK,,CO. LIMERICK
The Market Bar,55.129605,-6.669198,northireland,BALLYMAHON STREET,LONGFORD,,CO. LONGFORD
The Market Bar,55.129605,-6.669198,northireland,99 CLANBRASSIL STREET,DUNDALK,,CO. LOUTH
The Market Bar,55.129605,-6.669198,northireland,14A FADE STREET,& THE REAR OF 25 ST GEORGE'S STREET,THE REAR OF 29 MARKET ARCADE EXTENSION,DUBLIN CITY
The Oval Bar,54.989742,-7.314582,northireland,25 SOUTH MAIN STREET,CORK,,CO. CORK
The Park Inn,54.33149,-6.364375,northireland,11 O'LOUGHLIN ROAD,KILKENNY,,CO. KILKENNY
The Poachers Inn,54.422759,-7.59461,northireland,NEW ROAD,BANDON,,CO. CORK
The Railway Bar,54.35582,-6.657731,northireland,DIAMOND,BELTURBET,,CO. CAVAN
The Railway Bar,54.35582,-6.657731,northireland,DUNKEREEN,UPTON,,CO. CORK
The Railway Bar,54.35582,-6.657731,northireland,RAILWAY ROAD,BUNDORAN,,CO. DONEGAL
The Railway Bar,54.35582,-6.657731,northireland,MAIN STREET,BALLYBUNION,,CO. KERRY
The Railway Bar,54.35582,-6.657731,northireland,EYRE STREET,NEWBRIDGE,,CO. KILDARE
The Railway Bar,54.35582,-6.657731,northireland,COOLDETERRY,"RAILWAY ROAD, PORTARLINGTON",,CO. LAOIS
The Railway Bar,54.35582,-6.657731,northireland,MAIN STREET,BRUREE,,CO. LIMERICK
The Railway Bar,54.35582,-6.657731,northireland,"KNOCKBRACK, ABBEYFEALE, CO LIMERICK",ABBEYFEALE,,CO. LIMERICK
The Railway Bar,54.35582,-6.657731,northireland,EARL STREET,LONGFORD,,CO. LONGFORD
The Railway Bar,54.35582,-6.657731,northireland,MAIN STREET,DUNLEER,,CO. LOUTH
The Railway Bar,54.35582,-6.657731,northireland,5 RAILWAY STREET,NAVAN,,CO. MEATH
The Railway Bar,54.35582,-6.657731,northireland,PATRICK STREET,CASTLEREA,,CO. ROSCOMMON
The Railway Bar,54.35582,-6.657731,northireland,LORD EDWARD STREET,SLIGO,,CO. SLIGO
The Railway Bar,54.35582,-6.657731,northireland,MILL STREET,CAPPOQUIN,,CO. WATERFORD
The Ramble Inn,54.286686,-5.760264,northireland,BALDWIN STREET,MITCHELSTOWN,,CO. CORK
The Ramble Inn,54.286686,-5.760264,northireland,HALF-WAY,BALLINHASSIG,,CO. CORK
The Ramble Inn,54.286686,-5.760264,northireland,BALLYCANEW,GOREY,,CO. WEXFORD
The Ramble Inn,54.286686,-5.760264,northireland,145/147 KILLESTER AVENUE,,,DUBLIN CITY
The Ritz,54.99053,-7.312631,northireland,LISDOONVARNA,,,CO. CLARE
The Rock Bar,54.252669,-6.649592,northireland,THREECASTLES,,,CO. KILKENNY
The Round House,54.324147,-5.71191,northireland,1 BROAD STREET,LIMERICK,,CO. LIMERICK
The Round House,54.324147,-5.71191,northireland,8 AND 9 HIGH STREET,LIMERICK,,CO. LIMERICK
The Silver Eel,54.583316,-6.242556,northireland,GRANGE,STROKESTOWN,,CO. ROSCOMMON
The Spirit Store,54.451861,-7.48727,northireland,GEORGES QUAY,DUNDALK,,CO. LOUTH
The Spirit Store,54.451861,-7.48727,northireland,GEORGES QUAY,DUNDALK,,CO. LOUTH
The Thatch Bar,54.645887,-6.743053,northireland,THE SQUARE,HEADFORD,,CO. GALWAY
The Thatch Bar,54.645887,-6.743053,northireland,BALLYDONOGHUE,LISSELTON,,CO. KERRY
The Thatch Bar,54.645887,-6.743053,northireland,CARROWMORE,KNOCK,CLAREMORRIS,CO. MAYO
The Thatch Bar,54.645887,-6.743053,northireland,BALLYGAR,,,CO. ROSCOMMON
The Thatch Bar,54.645887,-6.743053,northireland,BALLYCAHILL,THURLES,,CO. TIPPERARY
The Thatch Bar,54.645887,-6.743053,northireland,THE SQUARE,FERNS,,CO. WEXFORD
The Tipsy Cow,54.873404,-7.314378,northireland,CHURCH STREET,DUNDALK,,CO. LOUTH
The Tower Bar,55.070421,-6.515883,northireland,44 GERALD GRIFFIN STREET,CORK,,CO. CORK
The Tower Bar,55.070421,-6.515883,northireland,FERMANAGH STREET,CLONES,,CO. MONAGHAN
The Village Inn,54.888188,-6.353407,northireland,DOWRA,,,CO. CAVAN
The Village Inn,54.888188,-6.353407,northireland,15 NEWTOWN,COBH,,CO. CORK
The Village Inn,54.888188,-6.353407,northireland,ARDGROOM,CASTLETOWNBERE,,CO. CORK
The Village Inn,54.888188,-6.353407,northireland,MAIN STREET,KILWORTH,,CO. CORK
The Village Inn,54.888188,-6.353407,northireland,MAIN STREET,ENNISKEANE,,CO. CORK
