ID,name,lat,long,address_1,address_2,address_3,county
1696,The Halfway House,53.5248211,-7.3437954,Ballycogley,,,Co. Wexford
1697,The Halfway House,53.5248211,-7.3437954,Longmile Road And Premises Attached,Walkinstown,,Dublin City
1698,Weirs Bar,53.6245997,-7.3907332,Main Street,Multyfarnham,,Co. Westmeath
1699,Claffey's,53.3889615,-7.3773447,Tyrellspass,,,Co. Westmeath
1700,Bagnall's,53.4146417,-7.2996835,Main Street,Rochfortbridge,,Co. Westmeath
1701,Peadar's Bar,53.3950275,-7.7184195,Main Street,Moate,,Co. Westmeath
1702,The Green Olive,53.4308049,-7.9280962,Ballymahon Road,Athlone,,Co. Westmeath
1703,Abbey House,53.680429,-7.2267364,Climber Hall,Kells,,Co. Meath
1704,Abbey House,53.680429,-7.2267364,Fore,Castlepollard,,Co. Westmeath
1705,Viva,53.4232359,-7.9373956,9 Dublingate Street,Athlone,,Co. Westmeath
1706,The Three Jolly Pigeons,53.5137552,-7.8231115,Bawn,The Pigeons,,Co. Westmeath
1707,The Bodhran,53.4064475,-7.464873,84 Bridge Street,Dundalk,,Co. Louth
1708,The Bounty,53.434825,-7.9240985,Two Mile Road,Clonbrusk,Athlone,Co. Westmeath
1709,The Town And Country,53.6799203,-7.2986064,The Square,Castlepollard,,Co. Westmeath
1710,The Coosan Tavern,53.4315584,-7.9373992,Archadia,Athlone,,Co. Westmeath
1711,Dolans Lounge,53.5247228,-7.3445399,Dominick Street,Mullingar,,Co. Westmeath
1712,Greville Arms Hotel,53.5255923,-7.3408156,Pearse Street,Mullingar,,Co. Westmeath
1713,The Shack,53.4187966,-7.9161191,Bonavalley,Loughandunning,Athlone,Co. Westmeath
1714,The Village Pub,53.663834,-7.0159688,Walterstown,Nurney,,Co. Kildare
1715,The Village Pub,53.663834,-7.0159688,Ardmore,Youghal,,Co. Waterford
1716,The Village Pub,53.663834,-7.0159688,Main Street,Clonmellon,,Co. Westmeath
1717,The Village Pub,53.663834,-7.0159688,Main Street,Ferns,,Co. Wexford
1718,The Grove,53.4242892,-7.9626357,Tolerton,Ballickmoyler,,Co. Carlow
1719,The Grove,53.4242892,-7.9626357,Roslevan,Tulla Road,Ennis,Co. Clare
1720,The Grove,53.4242892,-7.9626357,Main Street,Dunleer,,Co. Louth
1721,Seerys,53.4233065,-7.9440865,Barrack Street,Athlone,,Co. Westmeath
1722,The Fiddlers,53.4218696,-7.9445003,3 O'connell Street,Athlone,,Co. Westmeath
1723,Byrnes Public House,53.4539746,-7.0983608,Main Street,Kinnegad,,Co. Westmeath
1724,Grogan's Public House,53.470626,-7.863811,Glasson,Athlone,,Co. Westmeath
1725,Vincents,53.3962604,-7.7248777,Church Street,Moate,,Co. Westmeath
1726,The Villager,53.4709605,-7.8641831,Glasson,Athlone,,Co. Westmeath
1727,Bo Allens,53.3951196,-7.71935,Main Street,Moate,,Co. Westmeath
1728,Walsh's Bar,53.4224257,-7.9489805,Cree,Kilrush,,Co. Clare
1729,Walsh's Bar,53.4224257,-7.9489805,70/72 Connaught Street,Athlone,,Co. Westmeath
1730,The Connaught Lounge,53.4219809,-7.9474029,42 Connaught Street,Athlone,,Co. Westmeath
1731,The Gingerman Bar,52.2605993,-7.1113398,Ground Floor,6/7 Arundel Lane,Waterford,Co. Waterford
1732,The Toby Jug,52.147188,-7.850884,Main Street,Cappoquin,,Co. Waterford
1733,The American Bar,52.2608471,-7.106489,Kilronan,Aran,,Co. Galway
1734,The American Bar,52.2608471,-7.106489,123 The Quay,Waterford,,Co. Waterford
1735,Lismore Wine Vaults,52.1366914,-7.933731,West Street,Lismore,,Co. Waterford
1736,Luke Mccarthy's,52.0939114,-8.0069825,Convent Street,Tallow,,Co. Waterford
1737,Twomey's Snug Bar,52.2396938,-6.974395,Passage East,,,Co. Waterford
1738,The Tap Room,52.2598764,-7.1155035,56 Ballybricken/63 Mayor's Walk,And 1st Floor 62 Mayor's Walk,Waterford,Co. Waterford
1739,Paddy Foley's Bar,52.0898299,-7.6204101,12 Grattan Square,Dungarvan,,Co. Waterford
1740,The Park Inn,52.260066,-7.105088,11 O'loughlin Road,Kilkenny,,Co. Kilkenny
1741,The Exchange Bar,52.2602263,-7.1163142,1 Ballybricken,Waterford,,Co. Waterford
1742,Murph's Bar,52.1600403,-7.1508397,Strand Street,Tramore,,Co. Waterford
1743,Dowers Bar,52.1441892,-7.0562831,Ballymacaw,Dunmore East,,Co. Waterford
1744,Foleys On The Mall,52.1382982,-7.9297518,Main Street,Lismore,,Co. Waterford
1745,The Ballyvera,52.1899715,-8.0037402,Knockaniska East,Lismore,,Co. Waterford
1746,O'connor's Bar,52.092342,-7.6151084,The Square,Kenmare,,Co. Kerry
1747,The Local,25.9850248,-80.1791336,18 Military Road,Cork,,Co. Cork
1748,The Local,25.9850248,-80.1791336,Glantane,Mallow,,Co. Cork
1749,The Local,25.9850248,-80.1791336,Main Street,Doon,,Co. Limerick
1750,The Local,25.9850248,-80.1791336,10 Grattan Square,Dungarvan,,Co. Waterford
1751,Becketts,52.2363889,-7.0594444,Dunmore Road,Waterford,,Co. Waterford
1752,Tommy Powers,52.089614,-7.6204363,7 And 8 Grattan Square,Dungarvan,,Co. Waterford
1753,R. Robinson,52.163038,-7.1536501,Main Street,Tramore,,Co. Waterford
1754,Forum Waterford,52.2611694,-7.1194383,The Glen,Waterford,,Co. Waterford
1755,The Rising Sun,51.7763252,-8.5689811,Mullinavat,,,Co. Kilkenny
1756,The Rising Sun,51.7763252,-8.5689811,17 Dublin Street,,,Co. Longford
1757,Cove Bar,52.2477001,-7.0845783,Dunmore Road,Waterford,,Co. Waterford
1758,Crotty's Inn,52.1683402,-7.5195837,Leamybrien,Kilrossanty,,Co. Waterford
1759,The Central Bar,52.1469399,-7.8496072,Knocknagree,Mallow,,Co. Cork
1760,The Central Bar,52.1469399,-7.8496072,40 Main Street,Castleisland,,Co. Kerry
1761,The Central Bar,52.1469399,-7.8496072,Bridge Street,Newcastlewest,,Co. Limerick
1762,The Central Bar,52.1469399,-7.8496072,10 Clanbrassil Street,Dundalk,,Co. Louth
1763,The Central Bar,52.1469399,-7.8496072,Market Square,Roscommon,,Co. Roscommon
1764,The Tudor House,52.0885481,-7.6211797,15 Mary's Street,Dungarvan,,Co. Waterford
1765,The Enterprise Bar,52.089632,-7.6214569,26 Grattan Square,Dungarvan,,Co. Waterford
1766,Lenihan's,52.2054897,-7.4267652,Parkeenaglough,Kilmacthomas,,Co. Waterford
1767,The Railway Bar,52.14626,-7.8499417,Diamond,Belturbet,,Co. Cavan
1768,The Railway Bar,52.14626,-7.8499417,Dunkereen,Upton,,Co. Cork
1769,The Railway Bar,52.14626,-7.8499417,Railway Road,Bundoran,,Co. Donegal
1770,The Railway Bar,52.14626,-7.8499417,Main Street,Ballybunion,,Co. Kerry
1771,The Railway Bar,52.14626,-7.8499417,Eyre Street,Newbridge,,Co. Kildare
1772,The Railway Bar,52.14626,-7.8499417,Cooldeterry,"Railway Road, Portarlington",,Co. Laois
1773,The Railway Bar,52.14626,-7.8499417,Main Street,Bruree,,Co. Limerick
1774,The Railway Bar,52.14626,-7.8499417,"Knockbrack, Abbeyfeale, Co Limerick",Abbeyfeale,,Co. Limerick
1775,The Railway Bar,52.14626,-7.8499417,Earl Street,Longford,,Co. Longford
1776,The Railway Bar,52.14626,-7.8499417,Main Street,Dunleer,,Co. Louth
1777,The Railway Bar,52.14626,-7.8499417,5 Railway Street,Navan,,Co. Meath
1778,The Railway Bar,52.14626,-7.8499417,Patrick Street,Castlerea,,Co. Roscommon
1779,The Railway Bar,52.14626,-7.8499417,Lord Edward Street,Sligo,,Co. Sligo
1780,The Railway Bar,52.14626,-7.8499417,Mill Street,Cappoquin,,Co. Waterford
1781,The Saratoga Bar,52.201615,-6.978731,Woodstown,,,Co. Waterford
1782,M. And A. Heffernan,52.2383351,-7.1137612,Kilcohan Shopping Centre,Kilcohan,Waterford,Co. Waterford
1783,Faithlegg Golf Resort,52.2589829,-7.0245753,Faithlegg,,,Co. Waterford
1784,Geoffs,52.2581103,-7.1119105,9 John Street,Waterford,,Co. Waterford
1785,Lombards Bar,51.9816892,-7.8981668,O'neill Crowley Quay,Fermoy,,Co. Cork
1786,Lombards Bar,51.9816892,-7.8981668,Newtown,Youghal,,Co. Waterford
1787,Haughtons,52.2274662,-7.323551,Ross,Kilmeaden,,Co. Waterford
1788,Goldcoast Golf Hotel,52.0855548,-7.5700122,Ballinacourty,Dungarvan,,Co. Waterford
1789,Downes Bar,52.2623187,-7.1174549,10 Thomas Street,Waterford,,Co. Waterford
1790,The Castle Lodge,52.1380644,-7.9308864,Main Street,Lismore,,Co. Waterford
1791,The Marine Bar,52.041345,-7.659723,West End,Bundoran,,Co. Donegal
1792,The Marine Bar,52.041345,-7.659723,Pulla,Ring,,Co. Waterford
1793,Holy Cross Bar And Restaurant,52.2384987,-7.17883,Butlerstown,Waterford,,Co. Waterford
1794,Bridge House Bar,53.2747009,-7.493277,Ballydaheen,Mallow,,Co. Cork
1795,Bridge House Bar,53.2747009,-7.493277,Fouremilewater,Ballymacarbry,Clonmel,Co. Waterford
1796,Devonshire Arms,52.0926841,-8.0069923,Barrack Street,Tallow,,Co. Waterford
1797,O'neills Bar,52.163149,-7.153903,Mill Road,Midleton,,Co. Cork
1798,O'neills Bar,52.163149,-7.153903,13 East End,Caherciveen,,Co. Kerry
1799,O'neills Bar,52.163149,-7.153903,The Mall,Sligo,,Co. Sligo
1800,The Moorings,52.0895916,-7.6170672,Kilfaughna,Knockvicar,Boyle,Co. Roscommon
1801,The Moorings,52.0895916,-7.6170672,Davitt's Quay,Dungarvan,,Co. Waterford
1802,Connolly's Bar,52.162378,-7.152657,6 Main Street,Tramore,,Co. Waterford
1803,Clancys,52.347611,-7.411117,Clonea Power,Carrick-on-suir,,Co. Waterford
1804,The Bally Inn,52.2054897,-7.4267652,Ballylaneen,Carrigcastle,Kilmacthomas,Co. Waterford
1805,Kereen Bar,52.0715072,-7.8222696,Kereen,Aglish,Cappoquin,Co. Waterford
1806,The Hibernian Hotel,52.159527,-7.15009,"33 Patrick Street,1 Ormonde Street",Kilkenny,,Co. Kilkenny
1807,Whelan's,52.2054897,-7.4267652,Stradbally,Kilmacthomas,,Co. Waterford
1808,The Old Still,52.0086224,-7.8187593,Distillery House,Bandon,,Co. Cork
1809,The Old Still,52.0086224,-7.8187593,Clashmore,Youghal,,Co. Waterford
1810,Micilins,52.1770088,-7.5463656,Boolattin,Kilrossanty,,Co. Waterford
1811,Lyons Bar,52.283337,-7.0678725,Scartaglin,Farranfore,,Co. Kerry
1812,Lyons Bar,52.283337,-7.0678725,Slieverue,Waterford,,Co. Kilkenny
1813,Lyons Bar,52.283337,-7.0678725,Roundfort,Hollymount,,Co. Mayo
1814,The Welcome Inn,53.1423672,-7.6920536,Crookhaven,Skibbereen,,Co. Cork
1815,The Welcome Inn,53.1423672,-7.6920536,1 O'rahilly Street,Cobh,,Co. Cork
1816,The Welcome Inn,53.1423672,-7.6920536,24 Parnell Place,Cork,,Co. Cork
